scenario,channel,label,share,spend,inc_rev,net,net_est_ci_low,net_est_ci_high,implied_treated,observed_n_treated,treated_after_cap,extrapolated,roi
as_run,email,"counterfactual (simulated ground truth), model-based",0.036754707011368314,2838.0,68510.91076934015,65672.91076934015,452461.85132597026,527481.4647707655,28380.0,28380,28380.0,False,
as_run,social,"counterfactual (simulated ground truth), model-based",0.2559826768512691,19765.600000000002,-38895.5304798711,-58661.130479871106,344131.5106088711,411632.8888289432,24707.0,24707,24707.0,False,
as_run,search,"counterfactual (simulated ground truth), model-based",0.6153887995275504,47517.0,95683.53992855853,48166.53992855853,489400.57604417956,567696.9817659631,31678.0,31678,31678.0,False,
as_run,display,"counterfactual (simulated ground truth), model-based",0.09187381660981213,7094.0,0.0,-7094.0,525456.8536870754,607138.7552492252,35470.0,35470,35470.0,False,
as_run,all,"counterfactual (simulated ground truth), model-based",1.0,77214.6,125298.92021802758,48084.32021802757,1811450.7916660963,2113950.090614897,120235.0,0,,False,0.622736117496271
naive,email,"counterfactual (simulated ground truth), model-based",0.23400405572731886,18068.529561362637,229294.28603256645,211225.75647120381,1514312.3334917065,1765390.1327808888,180685.29561362637,28380,94983.0,True,
naive,social,"counterfactual (simulated ground truth), model-based",0.20794378728967894,16056.296358057645,-31596.215869423366,-47652.51222748101,279550.20441990596,334383.9627312557,20070.370447572055,24707,20070.370447572055,False,
naive,search,"counterfactual (simulated ground truth), model-based",0.27976432391525635,21601.890365386957,43499.070633854135,21897.18026846718,222488.32183142012,258082.95895930752,14401.260243591305,31678,14401.260243591305,False,
naive,display,"counterfactual (simulated ground truth), model-based",0.2782878330677459,21487.883715192773,0.0,-21487.883715192773,1407089.6062520293,1625820.7045344561,107439.41857596386,35470,94983.0,True,
naive,all,"counterfactual (simulated ground truth), model-based",1.0,77214.6,241197.14079699724,163982.5407969972,3423440.465995062,3983677.759005908,322595.0,0,,False,2.123724539102672
causal,email,"counterfactual (simulated ground truth), model-based",0.610672103278914,47152.80218584003,229294.28603256645,182141.48384672642,1514312.3334917065,1765390.1327808888,471528.0218584003,28380,94983.0,True,
causal,social,"counterfactual (simulated ground truth), model-based",0.0676232353654068,5221.5010694457405,-10275.07659758906,-15496.577667034802,90909.61320041884,108741.52918400486,6526.876336807175,24707,6526.876336807175,False,
causal,search,"counterfactual (simulated ground truth), model-based",0.039344639739262825,3037.9806196112836,6117.489317902293,3079.5086982910093,31289.63245257099,36295.48221514019,2025.320413074189,31678,2025.320413074189,False,
causal,display,"counterfactual (simulated ground truth), model-based",0.2823600216164163,21802.31612510294,0.0,-21802.31612510294,1407089.6062520293,1625820.7045344561,109011.5806255147,35470,94983.0,True,
causal,all,"counterfactual (simulated ground truth), model-based",1.0,77214.59999999999,225136.6987528797,147922.09875287965,3043601.185396726,3536247.84871449,589090.0,0,,False,1.9157270613702544
ctf_guided,email,"counterfactual (simulated ground truth), model-based",0.9580334531086034,73974.16986839958,229294.28603256645,155320.1161641669,1514312.3334917065,1765390.1327808888,739741.6986839958,28380,94983.0,True,
ctf_guided,social,"counterfactual (simulated ground truth), model-based",0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,24707,0.0,False,
ctf_guided,search,"counterfactual (simulated ground truth), model-based",0.0419665468913966,3240.4301316004326,6525.155752313786,3284.7256207133537,33374.75794002501,38714.19503194748,2160.2867544002884,31678,2160.2867544002884,False,
ctf_guided,display,"counterfactual (simulated ground truth), model-based",0.0,0.0,0.0,0.0,0.0,0.0,0.0,35470,0.0,False,
ctf_guided,all,"counterfactual (simulated ground truth), model-based",1.0,77214.6,235819.44178488024,158604.84178488023,1547687.0914317316,1804104.3278128363,741901.0,0,,False,2.054078396894891
