channel,method,cost_per_treated,n_treated,inc_rev,inc_rev_ci_low,inc_rev_ci_high,net_per_treated,net_ci_low,net_ci_high,roi,roi_ci_low,roi_ci_high,label
email,observational,0.1,28380,16.77132685512232,15.548846736092775,17.993806974151866,16.67132685512232,15.448846736092776,17.893806974151865,166.7132685512232,154.48846736092776,178.93806974151863,estimated (simulated) - naive diff-in-means revenue ATE
email,causal,0.1,28380,17.364681397053133,16.04298278104194,18.686380013064326,17.26468139705313,15.94298278104194,18.586380013064325,172.6468139705313,159.4298278104194,185.86380013064323,estimated (simulated) - Day-12 DR revenue ATE
email,counterfactual,0.1,28380,2.4140560524785113,2.4140560524785113,2.4140560524785113,2.314056052478511,2.314056052478511,2.314056052478511,23.140560524785112,23.140560524785112,23.140560524785112,counterfactual (simulated ground truth) - DGP oracle
social,observational,0.8,24707,17.119156562455945,15.7931712677542,18.44514185715769,16.319156562455944,14.9931712677542,17.64514185715769,20.39894570306993,18.741464084692748,22.05642732144711,estimated (simulated) - naive diff-in-means revenue ATE
social,causal,0.8,24707,16.094539997527306,14.728502473342418,17.460577521712196,15.294539997527306,13.928502473342418,16.660577521712195,19.11817499690913,17.41062809167802,20.82572190214024,estimated (simulated) - Day-12 DR revenue ATE
social,counterfactual,0.8,24707,-1.5742716833233943,-1.5742716833233943,-1.5742716833233943,-2.3742716833233946,-2.3742716833233946,-2.3742716833233946,-2.967839604154243,-2.967839604154243,-2.967839604154243,counterfactual (simulated ground truth) - DGP oracle
search,observational,1.5,31678,17.963501997982135,16.7814975385051,19.14550645745917,16.463501997982135,15.2814975385051,17.64550645745917,10.975667998654757,10.187665025670066,11.763670971639447,estimated (simulated) - naive diff-in-means revenue ATE
search,causal,1.5,31678,18.185042581762463,16.949225836358973,19.420859327165957,16.685042581762463,15.449225836358973,17.920859327165957,11.123361721174975,10.299483890905982,11.947239551443971,estimated (simulated) - Day-12 DR revenue ATE
search,counterfactual,1.5,31678,3.0205044487833366,3.0205044487833366,3.0205044487833366,1.5205044487833366,1.5205044487833366,1.5205044487833366,1.0136696325222243,1.0136696325222243,1.0136696325222243,counterfactual (simulated ground truth) - DGP oracle
display,observational,0.2,35470,15.95840417274482,14.8295075621829,17.08730078330674,15.75840417274482,14.629507562182901,16.887300783306742,78.79202086372409,73.1475378109145,84.43650391653371,estimated (simulated) - naive diff-in-means revenue ATE
display,causal,0.2,35470,16.165542838120956,15.014120487371732,17.316965188870178,15.965542838120957,14.814120487371733,17.11696518887018,79.82771419060478,74.07060243685866,85.58482594435088,estimated (simulated) - Day-12 DR revenue ATE
display,counterfactual,0.2,35470,0.0,0.0,0.0,-0.2,-0.2,-0.2,-1.0,-1.0,-1.0,counterfactual (simulated ground truth) - DGP oracle
