channel,outcome,outcome_label,pair,spearman_individual,mad_individual,spearman_decile,mad_decile,label
email,sim_converted_14d,14-day conversion,t-s,0.6532930536893345,0.008254148462069165,0.9030303030303028,0.004875358370415967,estimated (simulated)
email,sim_converted_14d,14-day conversion,t-x,0.6086505319025829,0.006289335154472667,0.9636363636363635,0.0011055285575273855,estimated (simulated)
email,sim_converted_14d,14-day conversion,s-x,0.5691076420098324,0.008690494791724186,0.8424242424242423,0.005100161432749192,estimated (simulated)
email,sim_revenue_14d,14-day revenue (R$),t-s,0.7114678510650951,1.8397676836367145,0.9030303030303028,1.0333851559469724,estimated (simulated)
email,sim_revenue_14d,14-day revenue (R$),t-x,0.712275006815909,1.5241793678183293,0.7696969696969697,0.47098312703671896,estimated (simulated)
email,sim_revenue_14d,14-day revenue (R$),s-x,0.6145902946796891,1.5877426934979362,0.6121212121212121,0.8829541344584773,estimated (simulated)
social,sim_converted_14d,14-day conversion,t-s,0.3943441791686764,0.0101300108816441,0.5393939393939393,0.008208668617902358,estimated (simulated)
social,sim_converted_14d,14-day conversion,t-x,0.7161972263225338,0.006161757433700791,0.8545454545454544,0.0028423780446238042,estimated (simulated)
social,sim_converted_14d,14-day conversion,s-x,0.393863432297131,0.007799124723818615,0.406060606060606,0.006737694508107439,estimated (simulated)
social,sim_revenue_14d,14-day revenue (R$),t-s,0.6465867715477849,2.1060231735829653,0.7333333333333332,1.4745138988309092,estimated (simulated)
social,sim_revenue_14d,14-day revenue (R$),t-x,0.7967810903807873,1.3498592314248279,0.8181818181818182,0.6938074313714958,estimated (simulated)
social,sim_revenue_14d,14-day revenue (R$),s-x,0.6977003676704511,1.6303267161221533,0.7454545454545454,1.1788019424168141,estimated (simulated)
search,sim_converted_14d,14-day conversion,t-s,0.620672209281658,0.01346612239717802,0.9636363636363635,0.0049795337986407355,estimated (simulated)
search,sim_converted_14d,14-day conversion,t-x,0.6963332639837818,0.011963090946201602,0.9636363636363635,0.0021184001381043204,estimated (simulated)
search,sim_converted_14d,14-day conversion,s-x,0.7955360919059709,0.0075526282027811534,0.9272727272727272,0.004807246496654842,estimated (simulated)
search,sim_revenue_14d,14-day revenue (R$),t-s,0.687833159476734,1.591679131917224,0.7939393939393938,0.832130721162254,estimated (simulated)
search,sim_revenue_14d,14-day revenue (R$),t-x,0.772679929500125,1.2634375750449482,0.9272727272727272,0.467158716468769,estimated (simulated)
search,sim_revenue_14d,14-day revenue (R$),s-x,0.5832067214489448,1.437869706409862,0.7696969696969697,0.934715749002763,estimated (simulated)
display,sim_converted_14d,14-day conversion,t-s,0.5347838441173945,0.011797183267585777,0.6363636363636362,0.005876735527570172,estimated (simulated)
display,sim_converted_14d,14-day conversion,t-x,0.5109463489745026,0.01088927249849072,0.5757575757575757,0.0025462063553039287,estimated (simulated)
display,sim_converted_14d,14-day conversion,s-x,0.7612129143154865,0.00877734654911852,0.9515151515151514,0.0054955110499377135,estimated (simulated)
display,sim_revenue_14d,14-day revenue (R$),t-s,0.6412570125557635,1.7240108814943647,0.7454545454545454,1.054753642886238,estimated (simulated)
display,sim_revenue_14d,14-day revenue (R$),t-x,0.6727241813810425,1.3863859657847533,0.8060606060606059,0.5114913043998666,estimated (simulated)
display,sim_revenue_14d,14-day revenue (R$),s-x,0.6541463860048288,1.509243395860037,0.8424242424242423,1.0932210278423473,estimated (simulated)
