channel,outcome,outcome_label,learner,learner_label,mean_cate,sd_cate,ci_lower,ci_upper,q05,q25,q50,q75,q95,n,assumptions,label
email,sim_converted_14d,14-day conversion,t,T-learner,0.12726537090786214,0.013879203719042388,0.12719294242219423,0.1273472920387383,0.1110173709455618,0.1210425370500876,0.12605733501937433,0.13082235769292033,0.14931668502874063,94983,Separate treated/control regressions (probability scale); features = adjustment set; sim_u unadjusted; ATE-bias inherited,estimated (simulated)
email,sim_converted_14d,14-day conversion,s,S-learner,0.12298521854082996,0.013554419184033844,0.1229123259540373,0.12307606968846474,0.10621436554987532,0.11522049796864309,0.12113288815105655,0.12841087788393776,0.14707560332998137,94983,"Single regression, treatment as feature (shrinks to constant effects); features = adjustment set; sim_u unadjusted",estimated (simulated)
email,sim_converted_14d,14-day conversion,x,X-learner,0.12705436388606295,0.008213150641240114,0.12700796022800542,0.1271050565121669,0.12045504056726057,0.12389070774186645,0.1250219527221954,0.12795767161413826,0.13988677723989898,94983,Outcome + effect regressions with tight learning on tau; requires propensity p(X) (Day 6); sim_u unadjusted,estimated (simulated)
email,sim_revenue_14d,14-day revenue (R$),t,T-learner,17.271995258809074,3.8340769520676425,17.245217074971382,17.295947572340623,13.12923921294069,15.598069408216915,16.952853901018557,18.461916448894527,22.53224719291469,94983,Separate treated/control regressions (probability scale); features = adjustment set; sim_u unadjusted; ATE-bias inherited,estimated (simulated)
email,sim_revenue_14d,14-day revenue (R$),s,S-learner,16.355458794306674,3.1348294506358823,16.333903749550824,16.374030345341286,12.804340881882581,14.837429146821353,15.81198956012421,17.239084465390302,22.66100523252834,94983,"Single regression, treatment as feature (shrinks to constant effects); features = adjustment set; sim_u unadjusted",estimated (simulated)
email,sim_revenue_14d,14-day revenue (R$),x,X-learner,17.2384080034739,3.2268689532775796,17.219098740268553,17.260645108493925,15.017322566718466,16.06394563724111,16.72563216214683,17.353579237596755,21.587170089230543,94983,Outcome + effect regressions with tight learning on tau; requires propensity p(X) (Day 6); sim_u unadjusted,estimated (simulated)
social,sim_converted_14d,14-day conversion,t,T-learner,0.10970406763897969,0.012622293622770672,0.10962425979692317,0.10978924685312529,0.0972591269516487,0.10424654003030567,0.10908939219713029,0.11386068143750422,0.1259081570240953,94983,Separate treated/control regressions (probability scale); features = adjustment set; sim_u unadjusted; ATE-bias inherited,estimated (simulated)
social,sim_converted_14d,14-day conversion,s,S-learner,0.10149535641600764,0.009309225620912976,0.10144405308976755,0.10155550033908796,0.09259846205741618,0.09711050703764695,0.1007630745668886,0.10343019414466728,0.11653550882599853,94983,"Single regression, treatment as feature (shrinks to constant effects); features = adjustment set; sim_u unadjusted",estimated (simulated)
social,sim_converted_14d,14-day conversion,x,X-learner,0.10823302051484773,0.006449365225967723,0.10819464307135727,0.10826867582505052,0.1049739589080882,0.10560945900969348,0.10630715407785743,0.1072554218995166,0.1189471384392096,94983,Outcome + effect regressions with tight learning on tau; requires propensity p(X) (Day 6); sim_u unadjusted,estimated (simulated)
social,sim_revenue_14d,14-day revenue (R$),t,T-learner,16.61952480532369,3.1555486203846796,16.600246935052738,16.63946603576979,12.79238940510336,15.157289317741853,16.391263728572667,17.76443080287324,21.114697404795077,94983,Separate treated/control regressions (probability scale); features = adjustment set; sim_u unadjusted; ATE-bias inherited,estimated (simulated)
social,sim_revenue_14d,14-day revenue (R$),s,S-learner,15.229048693156777,2.635137798363123,15.210467812041141,15.247207781246981,12.965315948012346,13.681939520016805,14.792597194672407,16.494240989171892,18.629968575493695,94983,"Single regression, treatment as feature (shrinks to constant effects); features = adjustment set; sim_u unadjusted",estimated (simulated)
social,sim_revenue_14d,14-day revenue (R$),x,X-learner,16.40785253717062,2.224335035526457,16.393701285736007,16.42282151844892,14.992964040186619,15.66936216784774,15.898810806039261,16.704286514744986,21.09449543083636,94983,Outcome + effect regressions with tight learning on tau; requires propensity p(X) (Day 6); sim_u unadjusted,estimated (simulated)
search,sim_converted_14d,14-day conversion,t,T-learner,0.12799281200184584,0.025114936982443437,0.12784915913977413,0.12814520748970012,0.09551336504037931,0.11540270978507217,0.12687046333394666,0.13986987194535214,0.164963071727627,94983,Separate treated/control regressions (probability scale); features = adjustment set; sim_u unadjusted; ATE-bias inherited,estimated (simulated)
search,sim_converted_14d,14-day conversion,s,S-learner,0.1230132590606106,0.013146190290603071,0.12294097356964259,0.12309297507386287,0.10752602042570764,0.11527778710746853,0.1206269268385112,0.12801523340717016,0.14220858811773526,94983,"Single regression, treatment as feature (shrinks to constant effects); features = adjustment set; sim_u unadjusted",estimated (simulated)
search,sim_converted_14d,14-day conversion,x,X-learner,0.12780381713469577,0.01279626792449207,0.12772603028309665,0.1278850230706726,0.11376761997396297,0.11950534054018094,0.12891059129058752,0.13349033740517047,0.14332130326226739,94983,Outcome + effect regressions with tight learning on tau; requires propensity p(X) (Day 6); sim_u unadjusted,estimated (simulated)
search,sim_revenue_14d,14-day revenue (R$),t,T-learner,17.980793566230275,3.5248404386633965,17.959791429059123,18.006710532409446,13.874841417431039,16.564019652761797,17.725729051626175,19.275857136150314,21.21699198315503,94983,Separate treated/control regressions (probability scale); features = adjustment set; sim_u unadjusted; ATE-bias inherited,estimated (simulated)
search,sim_revenue_14d,14-day revenue (R$),s,S-learner,17.14867353161025,2.4928171468660425,17.133151547809955,17.16610373211622,13.606268260835368,15.889289590475201,16.980165498052724,18.09174524874797,19.809246085849992,94983,"Single regression, treatment as feature (shrinks to constant effects); features = adjustment set; sim_u unadjusted",estimated (simulated)
search,sim_revenue_14d,14-day revenue (R$),x,X-learner,17.996971786264307,2.3537705180237105,17.98424970905306,18.0135812334751,14.919348186365735,17.406072127103442,18.163453552523126,18.567588649108863,19.691032423594073,94983,Outcome + effect regressions with tight learning on tau; requires propensity p(X) (Day 6); sim_u unadjusted,estimated (simulated)
display,sim_converted_14d,14-day conversion,t,T-learner,0.11359059867581864,0.01779126948040983,0.11347327090083739,0.11369686888765174,0.08950795688746793,0.10344272721771183,0.1124644707959874,0.12261463311940143,0.14112197572385535,94983,Separate treated/control regressions (probability scale); features = adjustment set; sim_u unadjusted; ATE-bias inherited,estimated (simulated)
