channel,outcome,outcome_label,band,n,share,tau_mean,tau_se,tau_ci_low,tau_ci_high,oracle_mean,oracle_neg_share,mean_y,mean_baseline,label,oracle_label
display,sim_converted_14d,14-day conversion,bottom,18997,0.20000421127991325,0.09920291735687833,3.597035934054723e-05,0.09913241545257086,0.09927341926118581,0.0,0.0,0.21703426856872138,0.20950557092202512,estimated (simulated),counterfactual (simulated ground truth)
display,sim_converted_14d,14-day conversion,mid-low,18996,0.19999368308013013,0.10645210976702674,1.1397488885597093e-05,0.10642977068881097,0.1064744488452425,0.0,0.0,0.2140450621183407,0.2123546352297592,estimated (simulated),counterfactual (simulated ground truth)
display,sim_converted_14d,14-day conversion,mid,18997,0.20000421127991325,0.11098143112242222,8.929453509306638e-06,0.11096392939354398,0.11099893285130046,0.0,0.0,0.2138232352476707,0.21430980953490972,estimated (simulated),counterfactual (simulated ground truth)
display,sim_converted_14d,14-day conversion,mid-high,18996,0.19999368308013013,0.11564110560243439,1.1899568190184141e-05,0.11561778244878163,0.11566442875608715,0.0,0.0,0.21320277953253317,0.21753364110620085,estimated (simulated),counterfactual (simulated ground truth)
display,sim_converted_14d,14-day conversion,top,18997,0.20000421127991325,0.12715333441564497,7.113521071327933e-05,0.12701390940264695,0.127292759428643,0.0,0.0,0.2246670526925304,0.2287416904519153,estimated (simulated),counterfactual (simulated ground truth)
display,sim_converted_14d,14-day conversion,all,94983,1.0,0.11188619733124416,3.451586708896747e-05,0.11181854623174979,0.11195384843073854,0.0,0.0,0.21655454133897645,0.21648910197965238,estimated (simulated),counterfactual (simulated ground truth)
display,sim_revenue_14d,14-day revenue (R$),bottom,18997,0.20000421127991325,13.564010041956223,0.009027743285530155,13.546315665116584,13.581704418795862,0.0,0.0,29.932364583881665,29.182551507351242,estimated (simulated),counterfactual (simulated ground truth)
display,sim_revenue_14d,14-day revenue (R$),mid-low,18996,0.19999368308013013,15.002139771776715,0.0014699318582562732,14.999258705334533,15.005020838218897,0.0,0.0,28.007523689197722,28.70027172823213,estimated (simulated),counterfactual (simulated ground truth)
display,sim_revenue_14d,14-day revenue (R$),mid,18997,0.20000421127991325,15.680488859583493,0.0013015044112037616,15.677937910937533,15.683039808229452,0.0,0.0,28.18801231773438,28.8591017899306,estimated (simulated),counterfactual (simulated ground truth)
display,sim_revenue_14d,14-day revenue (R$),mid-high,18996,0.19999368308013013,16.40980416605786,0.0020740046352961342,16.40573911697268,16.41386921514304,0.0,0.0,29.304147715308485,29.80245102835174,estimated (simulated),counterfactual (simulated ground truth)
