channel,outcome,outcome_label,strategy,x_population_share,y_cum_incremental,label
email,sim_converted_14d,14-day conversion,uplift,0.1,0.159,estimated (simulated)
email,sim_converted_14d,14-day conversion,uplift,0.2,0.2677,estimated (simulated)
email,sim_converted_14d,14-day conversion,uplift,0.3,0.385,estimated (simulated)
email,sim_converted_14d,14-day conversion,uplift,0.4,0.4887,estimated (simulated)
email,sim_converted_14d,14-day conversion,uplift,0.5,0.5844,estimated (simulated)
email,sim_converted_14d,14-day conversion,uplift,0.6,0.6756,estimated (simulated)
email,sim_converted_14d,14-day conversion,uplift,0.7,0.7811,estimated (simulated)
email,sim_converted_14d,14-day conversion,uplift,0.8,0.8679,estimated (simulated)
email,sim_converted_14d,14-day conversion,uplift,0.9,0.9374,estimated (simulated)
email,sim_converted_14d,14-day conversion,uplift,1.0,1.0,estimated (simulated)
email,sim_converted_14d,14-day conversion,propensity,0.1,0.2078,estimated (simulated)
email,sim_converted_14d,14-day conversion,propensity,0.2,0.3617,estimated (simulated)
email,sim_converted_14d,14-day conversion,propensity,0.3,0.4847,estimated (simulated)
email,sim_converted_14d,14-day conversion,propensity,0.4,0.5888,estimated (simulated)
email,sim_converted_14d,14-day conversion,propensity,0.5,0.684,estimated (simulated)
email,sim_converted_14d,14-day conversion,propensity,0.6,0.7732,estimated (simulated)
email,sim_converted_14d,14-day conversion,propensity,0.7,0.847,estimated (simulated)
email,sim_converted_14d,14-day conversion,propensity,0.8,0.9172,estimated (simulated)
email,sim_converted_14d,14-day conversion,propensity,0.9,0.9648,estimated (simulated)
email,sim_converted_14d,14-day conversion,propensity,1.0,1.0,estimated (simulated)
email,sim_converted_14d,14-day conversion,baseline,0.1,0.1788,estimated (simulated)
email,sim_converted_14d,14-day conversion,baseline,0.2,0.2399,estimated (simulated)
email,sim_converted_14d,14-day conversion,baseline,0.3,0.3289,estimated (simulated)
email,sim_converted_14d,14-day conversion,baseline,0.4,0.4155,estimated (simulated)
email,sim_converted_14d,14-day conversion,baseline,0.5,0.4954,estimated (simulated)
email,sim_converted_14d,14-day conversion,baseline,0.6,0.6152,estimated (simulated)
email,sim_converted_14d,14-day conversion,baseline,0.7,0.7085,estimated (simulated)
email,sim_converted_14d,14-day conversion,baseline,0.8,0.8161,estimated (simulated)
email,sim_converted_14d,14-day conversion,baseline,0.9,0.9056,estimated (simulated)
email,sim_converted_14d,14-day conversion,baseline,1.0,1.0,estimated (simulated)
email,sim_converted_14d,14-day conversion,oracle,0.1,0.0421,counterfactual (simulated ground truth)
email,sim_converted_14d,14-day conversion,oracle,0.2,0.1295,counterfactual (simulated ground truth)
email,sim_converted_14d,14-day conversion,oracle,0.3,0.2419,counterfactual (simulated ground truth)
email,sim_converted_14d,14-day conversion,oracle,0.4,0.3326,counterfactual (simulated ground truth)
email,sim_converted_14d,14-day conversion,oracle,0.5,0.4304,counterfactual (simulated ground truth)
email,sim_converted_14d,14-day conversion,oracle,0.6,0.5459,counterfactual (simulated ground truth)
email,sim_converted_14d,14-day conversion,oracle,0.7,0.6577,counterfactual (simulated ground truth)
email,sim_converted_14d,14-day conversion,oracle,0.8,0.759,counterfactual (simulated ground truth)
email,sim_converted_14d,14-day conversion,oracle,0.9,0.8697,counterfactual (simulated ground truth)
email,sim_converted_14d,14-day conversion,oracle,1.0,1.0,counterfactual (simulated ground truth)
email,sim_revenue_14d,14-day revenue (R$),uplift,0.1,0.221,estimated (simulated)
email,sim_revenue_14d,14-day revenue (R$),uplift,0.2,0.3495,estimated (simulated)
email,sim_revenue_14d,14-day revenue (R$),uplift,0.3,0.4541,estimated (simulated)
email,sim_revenue_14d,14-day revenue (R$),uplift,0.4,0.5527,estimated (simulated)
email,sim_revenue_14d,14-day revenue (R$),uplift,0.5,0.6538,estimated (simulated)
email,sim_revenue_14d,14-day revenue (R$),uplift,0.6,0.7508,estimated (simulated)
email,sim_revenue_14d,14-day revenue (R$),uplift,0.7,0.8228,estimated (simulated)
email,sim_revenue_14d,14-day revenue (R$),uplift,0.8,0.9044,estimated (simulated)
email,sim_revenue_14d,14-day revenue (R$),uplift,0.9,0.953,estimated (simulated)
email,sim_revenue_14d,14-day revenue (R$),uplift,1.0,1.0,estimated (simulated)
email,sim_revenue_14d,14-day revenue (R$),propensity,0.1,0.2173,estimated (simulated)
email,sim_revenue_14d,14-day revenue (R$),propensity,0.2,0.3498,estimated (simulated)
email,sim_revenue_14d,14-day revenue (R$),propensity,0.3,0.4858,estimated (simulated)
email,sim_revenue_14d,14-day revenue (R$),propensity,0.4,0.5928,estimated (simulated)
email,sim_revenue_14d,14-day revenue (R$),propensity,0.5,0.6877,estimated (simulated)
email,sim_revenue_14d,14-day revenue (R$),propensity,0.6,0.78,estimated (simulated)
email,sim_revenue_14d,14-day revenue (R$),propensity,0.7,0.8536,estimated (simulated)
