channel,outcome,outcome_label,strategy,strategy_label,qini_lift_observed_pct,qini_lift_true_pct,n,assumptions,label
email,sim_converted_14d,14-day conversion,uplift,Uplift τ̂ (mean T/S/X CATE),13.1,1.44,94983,Day-13 meta-learner CATE on observed X; sim_u unobserved,estimated (simulated)
email,sim_converted_14d,14-day conversion,propensity,Propensity p(X),27.38,-0.27,94983,Day-6 logit PS on X; ranks likely-treated customers; sim_u unobserved,estimated (simulated)
email,sim_converted_14d,14-day conversion,baseline,Baseline E[Y|X],4.69,3.04,94983,Day-13 outcome model on X; ranks likely-to-convert customers; sim_u unobserved,estimated (simulated)
email,sim_converted_14d,14-day conversion,oracle,Oracle (true effect),-9.8,26.83,94983,Counterfactual simulated ground truth using sim_u; unachievable on observed data,counterfactual (simulated ground truth)
email,sim_revenue_14d,14-day revenue (R$),uplift,Uplift τ̂ (mean T/S/X CATE),23.9,0.3,94983,Day-13 meta-learner CATE on observed X; sim_u unobserved,estimated (simulated)
email,sim_revenue_14d,14-day revenue (R$),propensity,Propensity p(X),28.58,-0.27,94983,Day-6 logit PS on X; ranks likely-treated customers; sim_u unobserved,estimated (simulated)
email,sim_revenue_14d,14-day revenue (R$),baseline,Baseline E[Y|X],4.69,3.06,94983,Day-13 outcome model on X; ranks likely-to-convert customers; sim_u unobserved,estimated (simulated)
email,sim_revenue_14d,14-day revenue (R$),oracle,Oracle (true effect),-13.96,26.83,94983,Counterfactual simulated ground truth using sim_u; unachievable on observed data,counterfactual (simulated ground truth)
social,sim_converted_14d,14-day conversion,uplift,Uplift τ̂ (mean T/S/X CATE),20.66,0.27,94983,Day-13 meta-learner CATE on observed X; sim_u unobserved,estimated (simulated)
social,sim_converted_14d,14-day conversion,propensity,Propensity p(X),17.58,3.12,94983,Day-6 logit PS on X; ranks likely-treated customers; sim_u unobserved,estimated (simulated)
social,sim_converted_14d,14-day conversion,baseline,Baseline E[Y|X],17.43,3.11,94983,Day-13 outcome model on X; ranks likely-to-convert customers; sim_u unobserved,estimated (simulated)
social,sim_converted_14d,14-day conversion,oracle,Oracle (true effect),-22.07,27.85,94983,Counterfactual simulated ground truth using sim_u; unachievable on observed data,counterfactual (simulated ground truth)
social,sim_revenue_14d,14-day revenue (R$),uplift,Uplift τ̂ (mean T/S/X CATE),22.5,0.12,94983,Day-13 meta-learner CATE on observed X; sim_u unobserved,estimated (simulated)
social,sim_revenue_14d,14-day revenue (R$),propensity,Propensity p(X),17.27,3.12,94983,Day-6 logit PS on X; ranks likely-treated customers; sim_u unobserved,estimated (simulated)
social,sim_revenue_14d,14-day revenue (R$),baseline,Baseline E[Y|X],16.7,3.03,94983,Day-13 outcome model on X; ranks likely-to-convert customers; sim_u unobserved,estimated (simulated)
social,sim_revenue_14d,14-day revenue (R$),oracle,Oracle (true effect),-11.71,27.85,94983,Counterfactual simulated ground truth using sim_u; unachievable on observed data,counterfactual (simulated ground truth)
search,sim_converted_14d,14-day conversion,uplift,Uplift τ̂ (mean T/S/X CATE),18.85,1.64,94983,Day-13 meta-learner CATE on observed X; sim_u unobserved,estimated (simulated)
search,sim_converted_14d,14-day conversion,propensity,Propensity p(X),18.78,-0.55,94983,Day-6 logit PS on X; ranks likely-treated customers; sim_u unobserved,estimated (simulated)
search,sim_converted_14d,14-day conversion,baseline,Baseline E[Y|X],4.2,2.95,94983,Day-13 outcome model on X; ranks likely-to-convert customers; sim_u unobserved,estimated (simulated)
search,sim_converted_14d,14-day conversion,oracle,Oracle (true effect),-8.9,26.71,94983,Counterfactual simulated ground truth using sim_u; unachievable on observed data,counterfactual (simulated ground truth)
search,sim_revenue_14d,14-day revenue (R$),uplift,Uplift τ̂ (mean T/S/X CATE),17.91,0.74,94983,Day-13 meta-learner CATE on observed X; sim_u unobserved,estimated (simulated)
search,sim_revenue_14d,14-day revenue (R$),propensity,Propensity p(X),19.41,-0.55,94983,Day-6 logit PS on X; ranks likely-treated customers; sim_u unobserved,estimated (simulated)
search,sim_revenue_14d,14-day revenue (R$),baseline,Baseline E[Y|X],2.84,2.87,94983,Day-13 outcome model on X; ranks likely-to-convert customers; sim_u unobserved,estimated (simulated)
search,sim_revenue_14d,14-day revenue (R$),oracle,Oracle (true effect),-5.62,26.71,94983,Counterfactual simulated ground truth using sim_u; unachievable on observed data,counterfactual (simulated ground truth)
display,sim_converted_14d,14-day conversion,uplift,Uplift τ̂ (mean T/S/X CATE),17.11,0.0,94983,Day-13 meta-learner CATE on observed X; sim_u unobserved,estimated (simulated)
